,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,dev,test,range_from,range_to
0,0,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.833,0.809,21,22
1,1,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.77,0.758,20,21
2,2,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.722,0.715,3,4
3,3,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.861,0.841,6,7
4,4,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.846,0.832,6,7
5,5,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.844,0.828,2,3
6,6,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.824,0.806,15,16
7,7,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.844,0.821,13,14
8,8,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.841,0.823,13,14
9,9,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.844,0.821,12,13
10,10,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.82,0.803,6,7
11,11,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.862,0.839,5,6
12,12,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.856,0.834,9,10
13,13,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.865,0.845,5,6
14,14,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.858,0.836,6,7
15,15,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.821,0.798,5,6
16,16,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.815,0.79,5,6
17,17,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.802,0.781,3,4
18,18,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.816,0.802,1,2
19,19,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.812,0.797,2,3
20,20,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.806,0.791,0,1
21,21,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.802,0.786,2,3
22,22,szegedai-semantics,crimson-snow-248,0j58xnjq,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.801,0.793,1,2
